SL,Time,BP,Circulation,HR,EEG
1.14E+05,12027,41,4905,235,-2520
1.37E+05,17450,119,5537,449,-8240
1.95E+05,17775,50,7459,390,-4210
11489,8549.8,41,654,156,-3066.6
1671.4,5238.4,23,147,76,-1461.4
2215.9,4000.4,24,165,54,-1056.3
1773.5,5611.3,14,147,76,-1431
25452,8979,32,1519,157,-3145.6
6740,6448.4,51,426,120,-2464
13430,9058.6,18,729,148,-2950.4
4.10E+05,21121,57,14125,473,-9100
7158.7,5462.1,53,545,93,-1703.2
1.10E+05,14935,46,4619,322,-6550
37515,8382.3,101,2054,180,-1310.9
5530.5,7170,16,292,79,-1410
58412,11072,34,2825,253,-5547.6
11485,9228.1,40,654,156,-2901.5
3017,6463.8,18,207,99,-1753
39246,9238.7,15,1885,196,-2590
37911,9832.2,50,2054,180,-3603.4
1464.8,3794.8,35,133,52,-945.81
4.11E+05,21960,69,14125,473,-7550
51.686,2489.5,6,5,33,-614
3.78E+05,22137,73,7585,365,-9055
4079.1,5228.5,13,317,79,-248
1.97E+05,20369,88,6746,403,-5100
29057,8944.2,35,1626,179,-3368.2
7857.7,5863.8,42,545,93,-1623.3
12438,9120.7,87,619,136,-2572.5
79688,13760,70,3298,283,-5038
60000,15002,149,2610,305,-6501.6
50.999,2579.3,8,5,33,-483
1.18E+05,15844,48,4426,271,-3560
7936.8,5677.8,82,457,104,-1979.8
40882,9506.2,35,2192,205,-2770
10166,7274.4,33,588,131,-3758
1.03E+05,13589,87,4342,306,-6310
38544,11381,34,1414,166,-2350
82720,13764,47,3539,272,-5130
3986.3,5477.5,15,292,79,-1880
4.07E+05,22429,57,14125,473,-8510
3.28E+05,26230,77,8870,540,-9130
2.20E+05,15509,38,7443,308,-8553
4.09E+05,21138,64,14125,473,-9880
11978,8299.1,82,693,128,-2549.6
10565,9970.8,37,587,154,-1830
13612,8617.3,33,729,148,-3012.6
9699.3,7581,16,621,123,-2417.4
5250.4,6819.8,8,292,79,-1460
48.868,2676.5,6,5,33,-725
28335,9821.1,91,1403,158,-2744
5.44E+05,20516,104,15149,457,-13284
3.41E+05,20837,108,11563,462,-8570
39335,9412.5,20,1885,196,-2520
86516,10887,38,3883,232,-6323
37694,10606,128,1751,205,-4190.6
38214,12682,19,890,162,-7171
1362.1,4597,10,102,51,-793.14
2175.4,3907.6,20,165,54,-1128.7
26107,8907.1,28,1364,156,-1720
30664,9428.2,123,1747,171,-3235.9
11186,5986.5,24,764,102,-1931.6
1463.4,3938.2,41,133,52,-1005.3
92005,14123,70,3885,254,-5250
10516,6566.5,13,689,109,-2810
13249,6434.4,10,804,96,-1685.1
1782.7,3838.7,17,166,63,-1120.7
47485,12848,86,2059,223,-3170
63974,10804,90,3205,230,-4460
8333.3,6454.5,70,457,104,-1673.9
1451.2,3927.3,42,133,52,-997.32
7646.6,7919,157,486,109,-1900
7299.4,5833.8,46,545,93,-1629.8
17090,9592.5,69,973,172,-3917.2
91676,13268,58,3885,254,-4540
2.84E+05,24246,73,8870,540,-12700
24632,8137.9,59,1252,154,-2824.4
47074,13931,67,2061,273,-5715.4
65616,10168,14,2976,217,-5438
1.17E+05,16276,55,4426,271,-5190
3670,5743.9,11,273,96,-2710
4243.8,5167,19,292,88,-1550
92320,13666,54,3885,254,-6620
64045,14368,32,2533,256,-4067
4166.3,5112.6,11,317,79,-1190
1.45E+05,19410,51,4435,358,-5738
10508,6121.1,28,691,99,-2108
1.39E+05,16201,161,5742,362,-10029
4143.6,7279.6,65,249,101,-2296.5
39660,9147.4,80,2124,202,-4400
1.19E+05,16321,79,4721,331,-4140
4.09E+05,21568,60,14125,473,-8910
1320.7,3906.4,16,102,51,-791.42
12106,8690.8,89,619,136,-2660.5
50063,11104,19,2677,216,-5040
1.14E+05,12377,44,4905,235,-3690
5.21E+05,24955,137,18067,540,-10216
1.04E+05,14504,50,4439,339,-1876
1.61E+05,16306,73,6744,352,-7656.2
1.28E+05,16392,46,4626,324,-7331
34725,9789.1,86,1922,176,-3527.9
12427,9426.5,31,661,220,-5505
10259,6358,14,689,109,-2830
10495,8176.4,89,587,139,-3035.9
36759,11185,24,1814,211,-3171
29998,8555.7,26,1513,132,-2102.8
20518,8387.5,40,1164,174,-4445
2.47E+05,20646,77,8208,421,-10224
4386.4,4901.9,21,340,72,-1343.2
1.04E+05,15735,168,4525,350,-8409
81985,13447,41,3539,272,-6600
3467.8,5291,50,132,51,-794.13
7520.7,5773.2,75,457,104,-1868.8
52.302,2448.5,6,5,33,-417
4.11E+05,22135,67,14125,473,-9480
4238.4,5792.5,126,318,88,-1581.9
10375,8782.2,85,587,139,-2731.6
1.44E+05,14209,71,5739,322,-6929
11191,8329.7,39,654,156,-3208.7
35892,8825.5,40,1868,175,-3519
30393,9209.6,128,1747,171,-3347
56038,10551,83,2751,240,-5468
4.73E+05,22254,56,15505,483,-14300
12862,8039.9,26,806,132,-456.05
6.41E+05,26509,114,19047,753,-14917
1.23E+05,14308,65,4913,284,-7655
1.60E+05,16432,70,6744,352,-7795.6
47709,10872,33,2316,187,-5206
1694.4,5608.8,19,147,76,-1367.9
78968,12748,31,3624,258,-5619
40110,10177,21,1993,195,-4292
7042,5516.1,46,545,93,-1685.3
2.81E+05,24052,80,8870,540,-12500
58337,11562,52,2822,223,-2210
3045.9,4641.5,48,224,67,-1293.8
60112,13198,27,2754,247,-4820
67436,11474,35,3297,300,-6321
1.01E+05,16321,62,3980,328,-8039
25709,7982.9,30,1364,156,-1870
34715,10007,46,1522,188,-4931
11120,5826.4,31,764,102,-1913.2
50074,10812,20,2677,216,-4500
65272,14291,61,2822,223,-2140
9426.1,8067.2,21,554,138,-2960.7
13806,7019.1,90,809,120,-2470.6
20776,9032.1,92,1162,163,-3567.1
54590,10226,15,2388,193,-5932
1.00E+05,16140,77,4359,399,-6516
50.366,2436.7,8,5,33,-458
89600,12839,31,3546,289,-8601
29354,10696,25,1521,194,-2030
27620,11116,73,1165,188,-4883
2.99E+05,19934,82,10395,541,-13230
60089,12234,38,2754,247,-5270
10268,6385.6,18,689,109,-3620
28619,10434,27,1521,194,-2610
3942.8,6877.1,72,249,101,-2353.9
18070,6882.3,23,1113,124,-3665
4181.5,7160.4,71,249,101,-2272.9
4913.5,6101.5,21,343,85,-1400
1.04E+05,13322,198,4334,279,-8537
2.26E+05,19042,79,8735,397,-9737
5759,7175.6,13,402,118,-2562
17733,8464.8,12,850,148,-4715
34274,10117,80,1922,176,-3476
2196.2,5799.4,14,185,82,-1434
73386,12260,24,3630,249,-2890
46673,11718,39,2059,223,-2610
5099.5,5977.2,17,343,85,-1040
38050,9602,45,2054,180,-3746.4
1.72E+05,17435,75,6516,371,-9250
12037,8539.8,82,693,128,-2563.2
1.60E+05,18664,91,6290,388,-9610
10121,7990.7,64,372,104,-1912.7
31729,9315.6,39,1513,132,-1942.8
3421.1,5332.5,50,132,51,-804.58
9758.5,8338.8,89,490,130,-2774.7
36371,11326,37,1111,166,-401
5179.7,7144.9,28,226,83,-1280.3
2.19E+05,19376,76,5962,383,-6709
4743,6626.2,19,295,105,-3357
38007,9468.8,38,2054,180,-3819.2
5.16E+05,22140,146,18067,540,-11583
1.19E+05,13981,49,5526,330,-5976
11925,6353.6,8,765,105,-1866.5
2152.6,3917.4,20,165,54,-1111.7
30542,9757.5,119,1747,171,-3205.9
2.47E+05,17876,286,8995,422,-9404
80375,12927,60,3539,272,-5900
26885,8476.7,36,1414,166,-2710
5.27E+05,20734,92,17322,574,-13947
73593,12223,29,3630,249,-4380
43156,13672,47,1581,234,-1910
7567.4,5719.6,77,457,104,-1886.9
9408.3,7116.6,19,554,138,-3216.6
83594,11115,25,3450,220,-1020
46587,9385.5,27,2461,205,-3634
17164,9045.4,34,931,183,-4195.6
5152.1,5984,15,343,85,-1320
9587.3,7583.3,97,490,130,-3062.1
7633.7,5732.7,73,457,104,-1791.5
1.10E+05,14601,48,4253,323,-7245
1105.7,4901.1,31,102,51,-756.55
3.33E+05,20882,91,12195,499,-2.73E+06
28004,9907.4,23,1521,194,-3370
23807,8966.2,18,1252,154,-2844.8
2310.6,4087.6,22,165,54,-1043
1530.7,4637.1,26,102,51,-846.76
73506,12076,23,3630,249,-3480
7650.2,5814.8,69,457,104,-1768.6
15298,7117.7,51,931,121,-3834
1.24E+06,34515,156,28833,721,-17047
28030,8591.1,85,1521,156,-2676.8
40875,13491,41,1581,234,-2450
13959,7071.7,86,809,120,-2415
50719,9635.7,20,2599,188,-2120
12219,9144.2,99,619,136,-2739.6
2.99E+05,18637,88,10980,499,-14203
1.96E+05,15769,62,7586,367,-8144
1.73E+05,18425,79,6746,403,-5210
1.23E+05,13844,39,5112,295,-3640
51766,11726,29,2677,216,-3500
29443,9293.5,14,1579,164,-3155
2.81E+05,16268,181,9958,377,-10064
49273,10349,22,2677,216,-4950
1.14E+05,12584,42,4905,235,-3320
7071.9,5921,48,545,93,-1658
10276,7796,26,621,123,-2350.1
25383,8053.5,30,1364,156,-2140
9577.3,7262.6,15,621,123,-2473.8
30622,9389.1,123,1747,171,-3255.9
1.66E+05,16413,53,6400,370,-10104
2.79E+05,21328,68,9276,468,-10124
2.48E+05,19304,85,8609,434,-10264
50476,13112,27,2188,215,-5010
921,4554.3,7,72,53,-670
1.02E+05,12414,57,4619,322,-4590
27529,8627.9,88,1521,156,-2870.6
39628,11994,39,1937,258,-6394
7232.3,5864.3,50,545,93,-1646.5
7037.5,7643,41,428,108,-2075.5
1.50E+05,19047,82,5537,449,-8450
1.12E+05,16909,36,4619,322,-6180
2176.6,4021,20,165,54,-1076.4
2175.3,4070.4,20,165,54,-1063.7
2.67E+05,23453,275,6864,497,-10294
8038.9,7410.2,30,549,149,-3440
60803,13091,29,2754,247,-4930
72869,12872,36,3211,262,-5514.3
2945,4831.1,33,249,71,-1175.1
7356.1,7162.1,164,486,109,-1650
75832,12737,32,3060,242,-5688
14960,7333.5,76,970,134,-2781
4917,7720.1,2,207,107,-2807
26128,9903.2,25,1415,174,-3381
19799,9206.1,22,1108,157,-3222
1.18E+05,11345,51,5407,254,-6098
51380,13770,67,2334,288,-5625.9
72561,12627,47,3211,262,-5540.3
4271,5675.4,14,292,88,-1080
4169.2,5046.6,10,317,79,-973
51.16,2475.3,92,5,33,-547
12172,8155.9,67,693,128,-2613.8
2063.3,4165.2,10,166,63,-1064.2
2.32E+05,17365,60,7701,344,-4317
2989.2,4796.5,47,224,67,-1259.8
2948.8,4611.4,25,249,71,-1167.3
1.11E+05,12679,57,4715,290,-9156
1.05E+05,13870,66,4427,278,-6957
58879,12906,33,2537,260,-4794
10245,6631.1,36,619,121,-2231
12061,8987.8,96,619,136,-2660.3
1.04E+05,18337,124,3552,362,-8698
28899,8668.7,38,1626,179,-3460.4
1.50E+05,17724,89,5537,449,-10300
1.15E+05,12260,37,4905,235,-3060
10936,7910.8,21,586,132,-2176
10847,8691.5,34,654,156,-3039.5
12852,7940.4,15,806,132,-2673.9
17797,10968,26,983,217,-4871
14268,7565.9,28,806,128,-1795
1.17E+05,15191,51,4426,271,-4620
49877,11284,24,2677,216,-4660
51483,10424,32,2599,188,-2120
7389.4,6418.5,50,545,93,-1601.1
22938,10470,39,1113,186,-4595
2.81E+05,20537,65,9276,468,-11201
1.02E+05,14104,150,4061,281,-5685.6
1339,3568.9,33,100,40,-639.43
39497,11143,80,2118,193,-3847
3095.9,4871.1,48,224,67,-1273.3
4438.5,5633.9,19,292,88,-681
58497,13536,67,2192,224,-3940
1.44E+05,14986,60,5844,315,-6030
4037.5,6872.9,67,249,101,-2244
9051,7927.3,15,399,107,-1792
52.73,2550.4,96,5,33,-319
1821,5265.7,18,147,76,-1449.4
55608,12592,58,2192,224,-3610
1453.9,3796.9,33,100,40,-604.86
3951.3,4625.4,13,317,79,-883
39214,9442.1,25,1885,196,-2750
3.78E+05,25678,98,11893,537,-17270
1.05E+05,14276,37,4345,312,-8010
4283.1,5213.9,14,292,88,-1390
4064.5,5810.7,125,318,88,-1576.8
4.11E+05,21343,58,14125,473,-7690
2.08E+05,16352,87,8211,387,-10731
46738,10523,41,2391,220,-5420
2009.7,4383.7,5,166,63,-1069.2
13625,9293.9,16,729,148,-2839
60408,10868,132,2828,261,-6633
3404.9,4795,41,249,71,-1322.8
11325,8970.2,26,654,156,-2145.2
45003,9761,40,2188,215,-4990
6240.6,5554.9,131,486,109,-1720
50900,14156,41,2464,234,-2100
36792,10012,35,1997,196,-3420
52350,9969.1,27,2599,188,-3170
4.06E+05,16978,94,14806,439,-11372
31324,9605.6,74,1922,176,-3471.3
29123,9092.6,24,1626,179,-3483.9
34489,9860.3,33,1577,184,-4138
5268,6949,59,346,107,-2146.8
37758,9371.3,50,2054,180,-3754.8
18444,9874.4,13,698,146,-2098
62405,13893,207,2060,265,-5967
3.14E+05,22126,90,11135,604,-14355
50492,12392,36,2395,243,-6285
13237,6741.8,30,804,96,-1511.2
33557,11799,41,1581,234,-974
51.803,2270.3,8,5,33,-469
23530,8394.2,15,1312,161,-4726
1.81E+05,21198,103,5537,449,-10000
56243,12045,62,2192,224,-2090
1.32E+05,13243,37,5521,316,-7651
1.14E+05,11544,47,4905,235,-2220
52.264,2273.6,8,5,33,-242
70301,12156,31,3132,266,-5731
1.43E+05,13342,32,5830,258,-7120
1.40E+05,14155,46,5844,315,-4460
9494.5,7278.1,19,621,123,-2373.6
4748.2,7448.9,25,271,131,-2808.4
18757,9731.2,77,657,157,-3036
51046,9448.8,23,2599,188,-2360
21660,7562.5,78,1359,139,-4538
2255.6,5302.1,26,185,82,-1426.6
7278.2,5989.8,49,545,93,-1609.5
71051,12444,50,3211,262,-5438.8
1.53E+05,16988,42,6070,358,-8011
30288,9020.1,122,1747,171,-3349.5
4384,5679,8,270,98,-1244
4.69E+05,22587,74,15505,483,-13800
69386,10415,74,3530,220,-4704
61042,13248,37,2754,247,-5210
22956,10729,64,1256,172,-4078
61874,13289,30,2754,247,-5940
47693,11682,23,2188,215,-5090
3.80E+05,21698,55,11414,421,-10475
2.31E+05,18976,155,6747,356,-13379
4149.4,5536,123,318,88,-1548.3
39558,10862,30,2118,193,-3932.3
1.56E+06,36925,178,34369,819,-18151
37725,9098.4,39,2054,180,-3802.2
39557,11047,28,2118,193,-3866.1
14026,6712.1,81,809,120,-2497
73774,11542,20,3630,249,-4460
1689.9,5518.2,19,147,76,-1392.5
10352,6653,16,689,109,-2790
2.65E+05,24564,81,8870,540,-11100
81141,10046,33,3965,225,-4308
1.16E+05,14543,61,4426,271,-5840
1.47E+05,14715,166,6057,308,-6138.4
1.09E+05,16411,52,4619,322,-6910
12846,7677.2,15,806,132,-2752.5
12457,8976.2,57,619,136,-2441
35361,11627,34,1690,209,-4633
51994,13583,57,2334,288,-6105.9
12220,8469.1,80,693,128,-2392.9
32061,10350,77,1466,171,-5004
46970,13337,63,2061,273,-5838.6
18468,9938,32,772,168,-2810
87333,10997,14,3450,220,-2390
21832,9230.1,74,1156,145,-2801.3
16995,7679.5,7,886,116,-388
1995.7,4314,5,166,63,-1065.9
26279,9732.1,22,1415,174,-3361.6
31781,9230,43,1513,132,-2008.5
2.83E+05,17238,84,10381,450,-12391
32266,8495.2,20,1870,181,-3333
71119,15325,77,2608,286,-6723
8760,9383.9,21,344,119,-2413
22145,9929.4,53,1071,176,-3401
74894,12541,26,3630,249,-4610
1.72E+05,15804,83,6746,403,-5010
6514,6929.6,19,424,112,-2869
4302.1,4928,12,317,79,-1460
35226,9907.3,109,1691,208,-4545.2
7926.7,8147.4,154,486,109,-1650
39413,9501.8,27,1885,196,-2260
4042.8,6835.7,75,249,101,-2213.3
32823,10475,72,1922,176,-3322.6
12053,8713.9,91,619,136,-2698.6
80287,13252,59,3539,272,-6740
96110,13495,45,4342,296,-7750
79074,12135,37,3539,272,-6230
36853,11650,24,1581,234,-3880
9313.9,7990.6,67,517,107,-1816.1
20380,8555.2,92,1162,163,-3573
1.17E+05,15946,58,4426,271,-4280
1.01E+05,15564,60,4155,309,-7593
4.74E+05,24964,47,15505,483,-11700
16840,8717.7,73,844,142,-2709.3
4208.1,5260.5,11,317,79,-1200
11107,5640.5,24,764,102,-1853.3
10128,9816.1,37,587,154,-2610
6646.7,6259.9,21,395,119,-2710
12296,8703.5,96,619,136,-2760.4
7653.6,7953.1,142,486,109,-1030
10260,6629.8,16,689,109,-3060
29305,9810.8,32,1420,197,-5126
28876,8712.2,37,1626,179,-3332.9
1.34E+05,15063,86,5642,361,-8653
90144,13317,49,4151,277,-5879
1.17E+05,15354,69,4351,362,-9317
2927.8,5154.7,30,249,71,-1051.1
34962,11980,40,1581,234,-2640
1.55E+05,13969,56,6169,292,-5951
13880,7082.6,91,809,120,-2305.4
5321.6,7344.2,72,346,107,-1922.5
30720,9488.9,127,1747,171,-3181.4
78717,12067,38,3539,272,-6440
1.02E+05,19923,50,3384,311,-3680
7822.6,6314.8,63,457,104,-1731.5
49985,10367,23,2395,208,-6097
12256,8720.7,76,693,128,-2399.7
17175,9028.5,36,931,183,-4267.9
1695.8,5243.9,21,147,76,-1485.4
9205,5312.4,9,548,91,-1973
78917,12912,46,3539,272,-2900
11234,8267.3,22,587,135,-2208
2.91E+05,20948,82,9833,605,-12816
37054,12188,27,1575,200,-3707
34841,10217,125,1691,208,-4388.4
4026.6,6974.3,65,249,101,-2239.6
2.63E+05,23941,98,8350,537,-8700
41491,10093,19,2054,181,-4313
57407,11982,131,2671,210,-6761
3143.2,5174.1,34,205,77,-1240.1
51362,11987,32,2188,215,-6510
12937,6660.9,15,804,122,-2472
4298.5,5734.4,16,340,72,-1210.6
13665,6618.6,23,804,96,-1534.7
4253.9,5373.2,14,292,88,-1060
4780.6,7134.5,12,205,86,-2470
75831,12509,48,3296,288,-5825
4366.3,5254.2,17,292,88,-1080
52981,12696,34,2541,267,-6376
44168,12485,34,2059,223,-3080
4271.7,4957.5,13,317,79,-1630
4364,6850.9,19,272,111,-2641
4522,5239.1,23,292,88,-828
5361,6661.9,5,244,82,-2139
1.16E+05,14674,57,4426,271,-6100
1.15E+05,12291,41,4905,235,-3020
3112.5,4688,38,249,71,-1232.7
53810,11796,34,2460,235,-3978
1.44E+05,16683,175,5847,362,-7207.5
78424,13152,58,3539,272,-4970
8791,8035.9,18,486,118,-2323
17336,9192.3,35,931,183,-4222.2
10350,6523.1,15,689,109,-2630
4.11E+05,21908,71,14125,473,-7850
44009,10072,89,2181,159,-2985.9
4.09E+05,22358,163,14125,473,-7930
5274.7,7058.1,59,346,107,-2126.3
1.61E+05,19296,71,6290,388,-9590
4257.6,5618.4,14,292,88,-835
2.81E+05,23120,67,9276,468,-9642.2
1.62E+05,17235,71,6744,352,-7546.8
4465.9,8234,46,271,131,-2477.1
45621,13309,52,2061,273,-5916.3
31798,10911,22,1414,166,-2740
1.78E+05,19171,72,6746,403,-5650
12852,7731.2,15,806,132,-2817.4
39092,9433.2,26,1885,196,-2220
2203.3,3867.7,21,165,54,-1034.1
2.70E+05,19602,223,7593,440,-10686
12650,7629.5,18,733,134,-3142
1.20E+05,16011,57,4426,271,-4200
1.55E+05,20108,67,5537,449,-8390
1.40E+05,13760,174,6057,308,-6400.3
53023,14049,51,2334,288,-4269.7
16793,10248,21,555,138,-3006
73977,14195,36,3379,299,-5182
1.63E+05,16700,77,6744,352,-7578.6
1.98E+05,16206,53,7459,390,-9120
2965.9,6721.4,71,168,87,-1448.7
12963,9061.8,82,693,128,-2408.9
4262.2,5437.9,14,292,88,-1320
1.19E+05,11892,29,5413,266,-4885
31541,8073.3,22,1690,169,-5869
14574,7913.4,19,804,136,-2953
38890,9709.8,11,1885,196,-2610
58260,11256,35,2530,257,-9073
27929,9674.4,34,1364,156,-2410
9289.6,7401,16,554,138,-3187.3
59620,12750,31,2754,247,-5780
1492.5,4068.9,41,133,52,-924.21
2.43E+05,24273,108,8350,537,-10100
2.37E+05,18097,192,7710,381,-9181
1.11E+05,11138,49,4905,235,-801
1.18E+05,15492,58,4426,271,-5290
50079,11807,77,2192,224,-2760
6713,6138.4,54,426,109,-3008
73905,12002,20,3630,249,-3840
2.65E+05,25030,108,8350,537,-10200
1.23E+05,18480,190,4443,439,-9476
6644.8,7236.1,27,427,95,-1595
11127,8688.9,26,654,156,-3102.6
3.20E+05,20427,295,11274,451,-12276
3477.9,5201.8,49,132,51,-824.16
35252,9833.3,119,1691,208,-4311.1
2.34E+05,21066,95,8350,537,16700
9643.5,8600.5,16,554,138,-2784.7
1.67E+05,16487,273,5750,353,-8671
1.45E+05,20893,81,5537,449,-7530
3311.1,4800.2,34,249,71,-1222.2
2.35E+05,20142,103,8350,537,-11200
12847,7796.8,15,806,132,-2813.5
10097,9437,43,587,154,-2500
7574.5,5787.8,48,545,93,-1654.3
2.33E+05,19750,45,8206,442,-10600
13199,6605.4,18,804,96,-1599.4
83339,10780,28,3450,220,-2490
2485,4133.5,4,202,65,-1233
62345,12352,133,2672,237,-4839.9
10444,6868.5,15,689,109,-3160
25800,8641.7,49,1364,156,-2650
71561,12274,28,3211,262,-5733.5
1712.1,5685.1,23,147,76,-1400.6
4.78E+05,25220,56,15505,483,-12100
49362,9328.2,23,2677,216,-6710
94869,14586,78,3885,254,-4890
43605,11553,26,1414,166,-1100
51.785,2614.5,6,5,33,-119
1.62E+05,18804,82,6290,388,-8260
51.712,2446.3,8,5,33,-601
40263,13351,41,1581,234,-1730
53054,10100,35,2599,188,163
90868,13244,41,3885,254,-4580
1.41E+05,14236,46,5844,315,-5650
16278,9576.2,73,845,192,-4055
95849,12856,44,4146,259,-6398
2169.1,3933.1,20,165,54,-1136.8
25714,9370.5,29,1415,174,-3387.7
10768,5536,24,764,102,-2030.8
55797,12731,64,2192,224,-3500
86386,11124,25,3450,220,-2460
9418.8,7589.7,70,517,107,-1868.1
1.41E+05,13872,170,6057,308,-6095.1
3240.1,5551.7,39,249,71,-1069.1
12086,6607.2,8,765,105,-1808.6
9151,5815.2,13,650,98,-2388
10623,7857.9,4,399,105,-4583
14179,7288.5,88,809,120,-2340.8
12268,7266.5,21,727,119,-1791
27591,10044,53,1310,176,-3517
36180,9855.2,42,1997,196,-4120
5428,5657.6,12,345,99,-2278
12907,8146.5,17,806,132,-2613.9
12039,6655.2,8,765,105,-1818
78515,11085,28,3618,213,-5622
45495,8066.1,42,2455,172,-4864
25477,7703.8,28,1519,157,-3131.7
14144,6966.3,80,809,120,-2446.3
3116,4531,18,247,70,-687
12862,8010.6,15,806,132,-2743.2
79763,13306,51,3539,272,-5910
1.85E+05,19955,71,5540,386,-9132
2995.3,5177.4,36,205,77,-1199.1
1.48E+05,19535,92,5537,449,-1760
3.12E+05,19663,174,9271,431,-8441
9176.8,7818.4,18,554,138,-3082.5
2.50E+05,20323,61,8870,540,-10400
7565.6,5635.6,75,457,104,-1856.7
4281.3,4880,23,340,72,-1291.3
46186,12290,17,2188,215,-5350
7639,5640.6,77,457,104,-1963.5
2.14E+05,15524,42,8195,336,-7010.9
27716,9000.9,93,1403,158,-2981.5
73769,11680,20,3630,249,-4880
2.65E+05,18710,66,9682,434,-8982
12985,8022.9,32,806,132,-2583.2
1.18E+05,15772,53,4426,271,-4650
3208.7,4431.1,34,249,71,-1204.7
1.62E+05,19093,92,6290,388,-9070
28082,8735.6,28,1414,166,-2630
57832,10769,34,2754,247,-6510
7859.1,7104.2,147,486,109,-2140
1.10E+05,15792,32,4619,322,-5570
60976,11709,25,2828,255,-6453
20676,8270.1,30,1256,142,-3630
25518,8832,28,1355,150,-3394
1768.3,5223.9,10,147,76,-1405.4
32930,9816.8,100,1922,176,-3577.9
4125.2,5775.1,126,318,88,-1536.2
1.20E+05,15591,46,4426,271,-6600
1.40E+05,14515,40,5844,315,-5130
35477,9834.5,119,1691,208,-4296.8
50.758,2504.4,96,5,33,-554
4724.5,7964.9,28,271,131,-2710.9
20656,8784.8,58,1165,152,-2635.6
1.97E+05,20159,81,6746,403,-4780
51.381,2475.7,6,5,33,-609
4366.9,5486.9,16,343,85,-1050
1.86E+05,15971,47,7696,340,-8294
4093.1,6889.4,64,249,101,-2458.7
1.42E+05,17224,52,5329,368,-8455
2.41E+05,20182,126,8486,555,-13288
1.79E+05,19596,56,6746,403,-6990
14183,8580.5,28,845,118,-2421
12027,8443.8,81,693,128,-2536.4
22300,10069,36,1212,182,-2930
79749,12921,46,3539,272,-7030
52433,12936,51,2059,223,-1300
2.88E+05,21335,92,9276,468,-9994
55617,13484,63,2192,224,-1920
1.41E+05,14380,41,5844,315,-5580
74795,12259,30,3630,249,-4110
6518,7782.2,27,458,120,-2882
84615,15326,45,3539,272,-7010
2.43E+05,17370,135,8869,441,-10264
56810,13540,35,2194,229,-4735
19306,9676.9,28,890,137,-2681
20391,9856.8,22,1209,182,-4116
2930,5266.8,13,187,75,-2285
3092.3,6966.7,43,204,85,-1605
10965,6474.6,22,764,102,-1818.4
29129,8710.9,42,1626,179,-3396.8
1.59E+05,13586,55,5949,293,-6412.8
10206,9509.2,45,587,154,-3010
