SL,TIME,BP,CIRCLUATION,HR,EEG,ACTIVITY
54.6806,2489.96,92,5,33,-213,2
54.8218,2485.83,92,5,33,-5.91,2
54.9691,2747.02,92,5,33,-226,4
55.0265,2520.44,94,5,33,-595,4
55.1618,2275.89,8,5,33,-507,2
55.3419,2320.51,94,5,33,-275,4
55.4455,2600.65,6,5,33,-345,2
55.5372,1954.23,97,5,33,-368,4
55.8893,2491.9,8,5,33,-317,2
56.3223,2544.29,6,5,33,-383,1
56.7712,2534.58,8,5,33,-209,1
56.8702,2320.72,96,5,33,-562,3
56.9828,2564.74,8,5,33,-274,1
57.0036,2193.22,10,5,33,-732,4
57.0714,2408.71,6,5,33,-521,1
57.1007,2609.6,92,5,33,-338,2
57.2156,2487.61,96,5,33,-360,4
57.272,2290.93,96,5,33,-658,5
57.44,2469,13,5,33,-516,1
57.5324,2288.03,92,5,33,-677,4
57.5559,2214.95,10,5,33,-617,4
57.6518,2508.66,92,5,33,-206,4
57.7427,2214.13,96,5,33,-330,5
57.7758,2241.43,10,5,33,-734,4
57.7841,2434.61,92,5,33,-192,3
57.8417,2485.52,96,5,33,-242,2
58.2207,2581.31,92,5,33,-387,2
58.4986,2444.73,96,5,33,-156,2
58.5141,2585.93,6,5,33,-623,2
58.6641,2929.34,92,5,33,-177,4
58.8102,2482.22,92,5,33,-240,2
58.8884,2181.47,10,5,33,-660,4
59.1342,2491.58,92,5,33,-366,2
59.1352,2482.99,92,5,33,-417,3
59.2686,2243.22,10,5,33,-740,4
59.2803,2566.12,92,5,33,-475,2
59.3284,2635.12,96,5,33,-116,4
59.8419,2388.47,96,5,33,-409,1
59.8814,2569.31,92,5,33,-364,2
59.9302,2543.48,93,5,33,-422,4
59.9544,2291.14,6,5,33,-39.2,5
60.1403,2080.26,96,5,33,-467,4
60.1407,2561.42,6,5,33,-568,3
60.1734,2523.09,92,5,33,-569,2
60.3042,2589.72,92,5,33,-431,2
60.9691,2435.41,96,5,33,-469,2
61.0403,2466.05,8,5,33,-340,4
61.0779,2504.5,6,5,33,-235,3
61.4721,2011.54,92,5,33,-617,4
61.598,2304.81,92,5,33,-319,2
62.0162,2420.03,96,5,33,-245,2
62.6089,2716.95,96,5,33,-322,4
62.7443,2462.55,8,5,33,-331,4
63.2127,2453.93,96,5,33,-362,2
63.3573,2751.72,6,5,33,-455,2
63.4633,2427.73,96,5,33,-407,2
63.6823,2577.49,96,5,33,-359,2
63.7534,2935.06,8,5,33,-529,2
64.2435,2447.2,96,5,33,-425,2
64.3566,2606.9,8,5,33,-474,4
64.4002,2388.11,92,5,33,41.5,4
64.9663,2420.22,92,5,33,-191,2
64.9878,2489.73,96,5,33,-474,4
65.0214,2389.95,96,5,33,-309,2
65.1906,2379.36,92,5,33,-323,2
65.693,2960.64,96,5,33,-183,4
66.4309,2348.26,92,5,33,-190,2
66.7695,2682.02,8,5,33,-428,3
66.7971,3021.24,92,5,33,-233,5
66.7972,2436.78,92,5,33,-339,2
67.6663,2705.37,96,5,33,-452,5
67.7433,2343.55,6,5,33,-805,2
68.115,2262.87,6,5,33,-704,2
68.3841,2591.73,96,5,33,-479,2
69.0928,2568.4,92,5,33,-597,2
69.7411,2279.16,96,5,33,-293,5
70.1354,2860.42,96,5,33,-156,4
70.2872,2796.03,6,5,33,-359,3
71.3648,2389.09,96,5,33,-387,3
71.5619,2930.24,6,5,33,-227,4
72.1009,2483.81,11,5,33,-399,2
72.3458,2256.67,8,5,33,-375,2
72.4199,2243.66,8,5,33,-632,2
95.7045,2743.05,92,5,33,80.7,3
409,4262.84,9,36,55,-952,0
490,4223.75,16,35,51,-537,0
655,3446.87,23,52,40,-558,0
668,3771.15,8,53,53,-1399,0
670,4254.47,4,63,56,-1307,0
672.431,4877.16,20,41,63,-1039.43,0
740,3860.48,6,64,51,-1710,0
781,4090.34,15,45,57,-581,0
793,3597.05,3,64,46,-1597,0
830,4571.93,9,54,55,-865,0
875,5684.12,10,64,73,-937,0
876,4081.69,19,52,50,-717,0
889,3891.56,1,75,58,-710,0
912,4804.99,5,64,66,-1492,0
921,4554.31,7,72,53,-670,0
921,4559.38,18,65,55,-560,0
922,4281.2,5,76,66,-2398,0
969,3607.61,11,87,56,-1228,0
987,5370.33,26,65,64,-1131,0
993,4588.25,15,66,67,-1056,0
1011.34,3244.31,22,102,51,-905.545,5
1067.33,3314.58,28,102,51,-924.361,5
1073,5004.54,14,87,66,-937,0
1081,4855.19,21,72,50,-1155,0
1091.22,3817.8,21,102,51,-771.314,5
1101,4652.18,14,74,67,-528,0
1102,5598.91,24,63,66,-826,0
1105.71,4901.12,31,102,51,-756.547,4
1110.1,4236.21,24,102,51,-876.779,5
1114,3294.91,11,83,35,-289,0
1137,3747.51,10,101,52,-872,0
1146.49,3179.51,29,102,51,-743.836,4
1151.84,4755.54,16,102,51,-791.207,5
1154,4819.61,15,88,62,-961,0
1166.21,4095.59,39,102,51,-905.359,5
1168.06,4187.17,19,102,51,-850.239,5
1171.84,3893.16,39,102,51,-948.223,5
1172.52,3768.76,30,102,51,-831.422,5
1175,4533.4,15,88,62,-914,0
1188.67,3900.92,35,102,51,-952.621,5
1201.33,3106.18,32,100,40,-680.009,2
1205.65,3242,33,100,40,-707.451,2
1208.93,4548.51,13,102,51,-748.43,5
1211.52,4491.69,34,102,51,-785.289,5
1212.76,4580.73,12,90,64,-1288.26,0
1219.01,2827.13,30,100,40,-720.707,3
1220.87,3825.38,37,102,51,-768.261,5
1222,4404.16,24,101,64,-1337,0
1227.88,4097.02,35,102,51,-895.96,5
1228,3916.97,7,102,53,-1243,0
1245,5757.16,46,77,81,-3524,0
1245.37,4190.95,34,102,51,-926.182,5
1249.73,3324.3,30,100,40,-686.598,2
1256.64,3210.23,35,100,40,-709.311,3
1264.57,3698.31,3,102,51,-1056.03,0
1265.97,3311.52,33,100,40,-610.28,3
1268.41,3145.17,32,100,40,-718.881,2
1268.52,3239.28,30,100,40,-685.896,2
1270.44,2856.22,35,100,40,-693.167,4
1272.32,3217.39,33,100,40,-718.834,2
1274.88,3297.39,32,100,40,-663.558,3
1274.9,4665.68,24,102,51,-806.292,5
1280.02,2776.54,32,100,40,-713.226,4
1281.23,4125.28,11,102,51,-859.523,5
1290.25,3496.01,33,100,40,-670.129,2
1294.6,3335.95,33,100,40,-730.158,2
1297.52,3980.51,17,102,51,-775.677,4
1299.73,4328.9,21,102,51,-829.902,5
1302,4964.78,20,104,79,-1887,0
1305.58,4475.62,13,102,51,-829.793,4
1306.6,3342.38,34,100,40,-661.663,2
1308.07,4295.97,16,102,51,-775.771,4
1308.09,3443.75,33,100,40,-717.24,3
1316.17,3583.45,30,100,40,-643.081,2
1319.06,4089.34,20,102,51,-932.05,5
1320.67,3906.39,16,102,51,-791.421,4
1322.12,4284.48,9,102,51,-877.594,5
1324.74,2989.29,35,100,40,-719.74,4
1325.32,3457.19,33,100,40,-676.366,3
1328.15,4281.3,9,102,51,-890.842,5
1328.17,3583.76,32,100,40,-662.313,2
1329.27,3297.63,11,100,40,-619.805,5
1330.72,4628.61,18,102,51,-738.666,4
1331.36,3305.2,32,100,40,-695.714,3
1332.06,3709.38,33,100,40,-626.385,2
1337.39,3651.79,38,133,52,-982.664,3
1338.95,3568.93,33,100,40,-639.432,2
1339,4286.17,17,129,61,-1331,0
1341.6,3306.63,33,100,40,-692.396,2
1342.19,3350.73,0,100,40,-129.783,3
1345.09,3676.38,33,100,40,-627.195,2
1346.24,3781.38,28,100,40,-603.663,3
1349.06,3255.73,0,100,40,-264.216,3
1349.37,4356.96,10,102,51,-817.634,4
1353.88,3531.53,29,100,40,-660.352,3
1355.73,3314.54,0,100,40,-239.031,3
1358,4222.68,4,117,63,-1940,0
1359.07,3429.65,32,100,40,-654.065,0
1360.59,3319.43,0,100,40,-241.483,3
1362.1,4597.04,10,102,51,-793.139,4
1364.82,3782.64,30,100,40,-601.188,3
1369,4467.21,14,87,68,-1350,0
1371.04,4036.11,33,102,51,-971.03,5
1376,4034.87,15,101,54,-646,0
1382.43,4374.67,16,102,51,-801.809,5
1384.22,4053.22,24,102,51,-922,5
1384.73,3655.97,32,100,40,-641.587,2
1385.56,3394.18,33,100,40,-655.823,3
1386.32,3783.93,37,133,52,-982.697,2
1387.35,3887.93,30,133,52,-880.491,4
1390.93,4270.01,27,102,51,-910.956,5
1391.76,3977.65,29,133,52,-819.268,4
1393.14,3445.63,32,100,40,-682.524,2
1395,4002.39,38,133,52,-931.193,3
1396.43,3365.6,33,100,40,-674.856,3
1396.73,3624.09,23,100,40,-591.311,4
1397,4874.71,31,115,73,-2042,0
1398.86,3455.08,0,100,40,-298.459,3
1399,4454.01,8,101,61,-1112,0
1399.41,3486.98,21,100,40,-587.226,4
1400.14,5033.14,14,102,51,-742.116,5
1400.73,3748.31,38,133,52,-998.816,2
1404.1,3629.1,32,133,52,-1070.43,3
1404.32,3758.89,31,100,40,-612.77,2
1405.26,3872.19,36,133,52,-942.931,2
1405.77,4595.92,12,147,76,-1613.45,4
1407.3,3979.11,32,133,52,-933.349,2
1409.09,3367.58,33,100,40,-660.443,3
1410.5,3691.12,39,133,52,-1066.76,0
1411.09,3990.78,38,133,52,-943.298,3
1411.09,4664.4,27,102,51,-837.315,5
1412.21,3580.3,33,100,40,-590.767,4
1413.68,3596.39,33,133,52,-1061.21,4
1414,3549.2,34,133,52,-1019.55,4
1415.74,4211.05,25,102,51,-888.982,4
1416.5,3568.9,42,133,52,-1022.38,1
1421.85,4042.6,32,133,52,-53.1201,5
1422.95,4946.97,58,112,59,-950,3
1424.63,3996.03,37,133,52,-956.551,2
1425.34,3525.95,34,100,40,-632.057,5
1426,4304.14,5,113,66,-746,0
1428.32,3657.3,42,133,52,-1025.26,1
1430.1,3786.09,41,133,52,-970.087,2
1431.19,3567.77,42,133,52,-1005.52,1
1432,6255.53,8,88,81,-250,0
1433.37,3840,32,100,40,-606.618,3
1433.93,4065.11,36,102,51,-911.694,5
1434.29,3729.57,34,100,40,-576.684,4
1435.1,3578.72,38,133,52,-1039.37,2
1436.3,3736.8,33,100,40,-634.175,4
1437.77,3494.67,42,133,52,-1007.61,1
1441.61,3999.36,40,133,52,-948.286,2
1442.88,3879.76,41,133,52,-971.914,2
1443.04,3870.42,42,133,52,-989,2
1443.07,3893.93,42,133,52,-955.806,2
1443.17,3812.34,42,133,52,-962.873,2
1443.51,3922.28,41,133,52,-973.392,2
1443.65,3840.31,42,133,52,-1014.91,2
1443.9,3994.58,42,133,52,-998.054,2
1444.27,3905.02,37,133,52,-978.047,2
1444.28,3838.69,42,133,52,-1005.58,2
1444.43,3827.55,42,133,52,-1004.61,2
1444.48,4000.26,42,133,52,-992.952,2
1444.67,3864.97,42,133,52,-988.378,2
1444.76,3813.49,42,133,52,-992.066,2
1444.79,3906.65,39,133,52,-984.897,2
1444.89,3954.47,42,133,52,-1003.39,2
1444.97,3865.97,37,133,52,-980.562,2
1445.45,3945.62,42,133,52,-989.383,2
1445.58,3914.63,42,133,52,-945.277,2
1445.74,3820.29,41,133,52,-993.121,2
1446.07,3907.87,42,133,52,-995.541,2
1446.14,3977.54,42,133,52,-975.877,2
1446.19,3987.68,42,133,52,-994.009,2
1446.2,3973.79,42,133,52,-996.942,2
1446.68,4009.37,42,133,52,-961.242,2
1446.96,3622.05,42,133,52,-1027.19,2
1447.52,3973.8,42,133,52,-997.689,2
1447.86,3780,42,133,52,-1013.62,2
1448,3944.7,42,133,52,-1005.54,2
1448.03,3845.73,42,133,52,-1005.8,2
1448.62,3832.07,37,133,52,-969.618,2
1449.16,4070.06,41,133,52,-918.327,2
1449.38,3885.4,35,133,52,-936.08,2
1449.95,3822.62,42,133,52,-993.86,2
1449.97,3943.4,41,133,52,-964.742,2
1450.03,3802.24,42,133,52,-1019.62,2
1450.73,3984.29,41,133,52,-991.323,2
1450.76,3783.37,41,133,52,-1001.85,2
1450.86,3794.31,41,133,52,-966.327,2
1451.08,3944.23,42,133,52,-978.033,2
1451.17,3927.34,42,133,52,-997.319,2
1451.2,3903.38,42,133,52,-987.792,2
1451.23,3776.45,39,133,52,-977.193,2
1452.12,4081.79,31,133,52,-882.116,2
1452.75,3904.15,42,133,52,-966.672,2
1453.43,4136.47,39,133,52,-957.474,3
1453.87,3796.93,33,100,40,-604.863,4
1454.43,3842.3,35,133,52,-925.579,2
1454.67,3761.75,42,133,52,-1002.68,2
1454.91,3820.78,42,133,52,-1014.97,2
1455.05,3772.23,38,133,52,-956.678,2
1455.09,3925.83,42,133,52,-985.17,2
1455.16,4127.25,39,133,52,-850.09,2
1455.22,3873.44,42,133,52,-976.691,2
1455.4,3850.44,41,133,52,-979.368,2
1455.42,3852.5,39,133,52,-965.416,2
1455.59,4060.87,33,133,52,-954.152,2
1455.77,3877.08,42,133,52,-997.604,2
1455.87,3908.37,41,133,52,-1014.92,2
1456.13,3962.29,41,133,52,-1002.6,2
1456.28,3751.05,42,133,52,-982.028,2
1456.33,3796.61,35,133,52,-1026.6,4
1456.39,4007.73,42,133,52,-961.918,2
1456.54,3802.11,42,133,52,-1003.08,2
1457.4,3862.29,41,133,52,-1006.89,2
1457.8,3777.37,39,133,52,-965.802,2
1458,4834.25,6,102,78,-1637,0
1458.23,3802.65,42,133,52,-999.947,2
1459.79,3894.71,42,133,52,-1060.2,2
1459.92,3738.45,42,133,52,-988.297,2
1460,4400.89,7,130,54,-1490,0
1460.87,3959.58,41,133,52,-959.479,2
1462.55,6383.59,20,77,60,-909.074,0
1463.03,3975.81,42,133,52,-970.08,2
1463.38,3938.25,41,133,52,-1005.34,2
1463.61,3943.56,35,133,52,-939.858,2
1463.94,3538.95,27,100,40,-598.108,4
1464.02,3981.73,38,133,52,-1001.47,2
1464.42,4253.46,41,133,52,-915.464,2
1464.75,3794.78,35,133,52,-945.807,2
1467.78,3915.38,41,133,52,-1017.12,2
1468.34,4012.9,42,133,52,-1008.24,2
1470.1,3943.18,42,133,52,-982.427,2
1472.15,4560.37,11,147,76,-1553.82,5
1472.27,3959.56,42,133,52,-946.372,2
1473.18,3949.56,41,133,52,-998.586,2
1473.54,3951.63,37,133,52,-927.642,2
1477.82,3823.77,42,133,52,-991.843,2
1477.88,3905.51,35,133,52,-897.623,3
1478.93,4055.85,41,133,52,-929.837,2
1479.51,3875.65,41,133,52,-1028.42,2
1479.75,4079.57,41,133,52,-938.461,2
1481.04,3809.08,36,133,52,-1041.92,4
1485,4361.75,13,115,63,-434,0
1486.75,3854.93,42,133,52,-980.101,2
1490.51,3900.93,39,133,52,-982.035,2
1491.62,4120.69,37,133,52,-925.458,2
1492.19,4129.81,41,133,52,-912.225,2
1492.52,4068.86,41,133,52,-924.209,2
1492.56,4034.05,41,133,52,-926.474,2
1493.48,3794.7,38,133,52,-949.764,2
1493.97,3515.58,29,100,40,-598.478,4
1495.96,3927.28,35,133,52,-909.982,3
1498.1,3615.99,32,100,40,-621.356,3
1510.35,5028.34,23,102,51,-736.745,4
1511,5823.53,23,104,79,-1354,0
1515,5025.14,26,134,98,-2452,0
1519.86,3842.02,30,100,40,-591.08,2
1525.93,3928.15,30,100,40,-587.71,2
1530.7,4637.15,26,102,51,-846.762,5
1535.68,4507.91,16,102,51,-830.607,4
1536.49,4957.67,19,147,76,-1530.79,4
1541.11,3991.77,32,133,52,-1029.99,5
1550,5153.53,31,90,69,-1227,0
1551.35,4205.7,30,133,52,-818.515,4
1552.68,4490.7,37,133,52,-827.579,3
1554.64,4922.11,13,102,51,-729.944,5
1560.2,4861.57,14,147,76,-1580.56,4
1563.91,3997.48,31,133,52,-865.602,4
1565.48,5237.46,12,147,76,-1308.31,4
1566,5037.34,2,117,68,-1286,0
1568.87,4067.54,30,133,52,-854.064,2
1569.24,3992.38,37,133,52,-1006.79,5
1570.65,4576.06,11,134,67,-1421.77,0
1572.59,5053.94,10,147,76,-1364.3,4
1574.45,5074.36,10,147,76,-684.951,4
1585,4482.86,11,115,73,-2494,0
1589,4627.93,14,88,67,-852,0
1600,4470.58,6,134,58,-1309,0
1616.65,4980.41,20,147,76,-1470.69,4
1636,3897.95,9,148,66,-1156,0
1636.31,5510.47,13,147,76,-1383.12,5
1646.18,5097.85,37,133,52,-755.785,3
1656.01,4830,13,147,76,-1555.8,5
1671.43,5238.36,23,147,76,-1461.37,4
1673.7,4904.25,4,102,51,-779.278,4
1677.79,5177.52,37,133,52,-748.41,4
1677.94,5139.29,15,147,76,-1534.83,5
1689.88,5518.16,19,147,76,-1392.46,5
1690,4825.41,20,149,74,-1032,0
1694.42,5608.77,19,147,76,-1367.86,5
1695.79,5243.9,21,147,76,-1485.38,5
1701.63,5706.75,21,147,76,-1365.01,5
1702.87,5659.09,21,147,76,-1385.68,5
1707.91,5632.67,19,147,76,-1375.51,5
1708,5408.41,21,134,96,-3040,0
1712.14,5685.07,23,147,76,-1400.63,5
1712.17,5763.43,21,147,76,-1376.47,5
1714.04,4894.82,17,147,76,-1599.71,0
1715.27,5133.37,10,147,76,-1327.46,4
1720,7293.31,28,90,104,-2661,0
1723,4750.12,3,147,73,-659,0
1729.92,5846.19,20,147,76,-1376.53,5
1735.2,5508.43,21,147,76,-1387.29,5
1740.87,5551.53,24,147,76,-1453.42,4
1754,3872.86,8,130,58,-1530,0
1755.06,5064,16,147,76,-1466.36,5
1758.25,5398.98,11,147,76,-1404.67,5
1768.28,5223.9,10,147,76,-1405.43,5
1773.48,5611.34,14,147,76,-1430.97,5
1776.01,5945.33,50,136,84,-1755.02,0
1776.78,5335.02,26,147,76,-1451.57,4
1779.41,5750.41,14,147,76,-1425.82,5
1782.69,5586.67,15,147,76,-1427.63,4
1782.72,3838.67,17,166,63,-1120.74,3
1783.92,5773.28,11,147,76,-1416.54,5
1789.08,5313.53,18,147,76,-1437.22,5
1796.8,5403.13,11,147,76,-1427.08,5
1797.18,5424.7,19,147,76,-1429.71,5
1803.61,5494.41,14,147,76,-1452.9,4
1806,5550.83,46,151,85,-2489,0
1806.12,5108.53,18,147,76,-1496.04,4
1809.09,5356.63,22,147,76,-1475.83,5
1810,4121.28,17,148,67,-1462,0
1813.79,4332.09,14,166,63,-1025.76,5
1821,5265.72,18,147,76,-1449.39,5
1821.66,5344.61,16,147,76,-1469.47,5
1830.27,3667.89,7,166,63,-1254.23,0
1833,6303.68,19,117,91,-1291,0
1838,5543.24,6,147,81,-1423,0
1841.25,5718.31,15,147,76,-1340.42,4
1854.91,5506.01,25,147,76,-1397.42,5
1867,4270.42,37,163,62,-2205,0
1867.97,3347.06,14,161,43,-615.751,5
1869,5639.86,7,89,68,-2169,0
1879.96,4895.97,30,102,51,-772.635,4
1883.24,4188.12,7,166,63,-1074.99,2
1887.76,4090.9,6,166,63,-1099.3,3
1889.72,4370.71,7,166,63,-995.508,3
1890,4731.27,13,135,74,-1300,0
1896,3532.39,9,168,59,-744,0
1902,5137.01,8,166,76,-1715,0
1903.16,4094.22,13,166,63,-1018.06,5
1905.19,4103.81,7,166,63,-1087.44,2
1907.9,5544.45,22,147,76,-1442.27,5
1909.66,3416.3,8,161,43,-610.946,5
1911.47,4279.29,5,166,63,-1048.88,3
1913.79,4153.58,6,166,63,-1061.48,3
1914.06,3666.56,6,161,43,-567.905,5
1917.79,4321.38,5,166,63,-1055.43,3
1918,5082.03,19,133,74,-1128,0
1918.48,5549.88,24,147,76,-1407.39,5
1919.47,4087.9,7,166,63,-1106.19,2
1920.41,4204.62,7,166,63,-1085.24,2
1926.76,4175.36,14,166,63,-1018.22,4
1928,5189.89,14,149,68,-1113,0
1930.02,3939.38,8,166,63,-1147.13,3
1930.39,4014.37,6,166,63,-1080.62,3
1932.78,3999.41,5,166,63,-1117.6,3
1932.93,4157.84,4,166,63,-1084.97,3
1933,4589.01,10,148,61,-1706,0
