Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Category
1350.3,4357.8,11,102,50,-817.83,4
2.88E+05,25015,97,8350,538,-9071.2,4
22896,9087.2,40,1211,183,-4780.9,4
4993.6,6721.3,72,346,106,-2136.2,2
48.661,2438.4,6,4,34,-639.99,1
12220,8423.6,81,694,127,-2399.7,2
22259,10164,38,1212,181,-2690,5
73531,11410,26,3630,248,-5340.8,2
17127,9347.1,36,931,184,-3994.3,1
4277.5,5187.2,9,318,80,-1751.1,2
71981,10343,24,3630,250,-4548.4,2
51945,13497,61,2335,289,-6014.4,4
52873,13058,53,2334,289,-5970,5
7708.4,5732.4,75,457,105,-1817.3,2
25831,8108.5,19,1110,117,-2893.8,0
26159,9293,30,1519,158,-3007.3,3
26456,7795.5,97,1522,155,-2869.9,4
27520,9225.8,90,1403,157,-2984,3
4431.1,5246.2,20,292,88,-52.185,3
21316,8072.5,23,1108,144,-2858.1,0
6.19E+05,26148,163,19042,598,-14503,0
1105.1,4902.1,31,102,51,-756.85,4
27779,8737.2,94,1522,155,-2826.6,4
8766.5,10117,18,401,138,-2511.5,0
81217,13567,33,3538,271,-6470.2,4
82516,15334,64,2060,224,-2658.6,3
9346.6,7717.2,28,515,103,-1350.9,5
1.38E+05,15035,187,5630,315,-7095.9,0
1.12E+05,11456,45,4905,234,-4560,2
24050,8902.2,25,1252,154,-2938.2,3
4453.8,5345.1,21,293,89,-1100.5,3
1.45E+05,15412,176,6056,308,-5811.9,3
60268,12805,30,2754,246,-5197.2,4
52720,14073,53,2334,287,-5792.4,4
4634.4,4748.5,12,317,79,-2089,4
50791,12973,152,2328,288,-6804.5,0
1.43E+05,13244,189,6057,308,-6400.3,3
4105.3,5286,129,319,89,-1545.3,2
32599,10315,61,1923,176,-3460.5,3
7587.3,7974.7,161,486,110,-1688.4,5
65070,11019,55,3452,247,-8355.2,0
4737.9,5235.5,6,184,50,-1805.4,0
29651,12825,15,1415,260,-7068,0
48028,13385,50,2059,222,-3300.2,3
15816,7595,72,971,134,-2645.9,4
8033.4,7312.9,156,488,118,-2579.2,0
7635.5,5824.8,76,457,105,-1816.7,2
3401.6,5162.7,47,131,52,-803.38,2
2.09E+05,17624,83,7823,379,-7547.4,0
11074,8788.6,39,655,157,-3240.2,4
40024,10342,35,2055,208,-6091,0
8243,6861.9,68,517,107,-1895.8,5
1479.9,4079.6,40,133,51,-937.62,2
4209.9,5566.5,124,317,88,-1476.9,3
72618,12988,46,3211,262,-5462.4,5
46962,12836,63,2060,274,-5880.6,5
83731,13774,214,3635,281,-8698.7,0
8786.3,7333.5,15,552,106,-3057.4,0
16635,8879.1,34,932,184,-4548.8,0
15308,9207.9,82,735,159,-4508.3,0
2.65E+05,25030,109,8349,537,-10200,3
92683,13864,63,3885,253,-5089.2,3
63459,14174,29,2753,248,-6511,5
1.18E+05,12519,45,4906,235,-3190.6,3
34009,10122,85,1684,192,-4433,0
3517.7,5231.8,46,132,50,-840.49,0
30537,9710.9,116,1746,170,-3178.2,5
1.12E+05,16169,46,4620,321,-5780.2,4
90806,13485,46,3886,254,-5879.9,3
19010,7463.6,55,1108,131,-2081,0
10893,5425.5,22,765,103,-2044.1,4
5201.4,6539.5,54,345,107,-2201.9,3
2.82E+05,22768,60,9276,469,-9604.9,5
11905,8033.3,83,693,127,-2615.7,3
1.87E+05,22728,87,6746,402,-2598.7,4
2791.7,8169.5,24,133,119,-2118.9,0
4070.3,5487.3,121,319,89,-1512.1,3
20445,9077.2,80,1162,164,-3332.9,5
3.47E+05,22847,123,11713,513,-10353,0
1.94E+05,17504,80,6869,336,-8562.7,0
8345.4,8375.2,32,490,154,-3229.8,0
34331,9605.8,84,1922,176,-3513.2,4
3177.3,4986.9,37,250,72,-1128.6,3
32581,9620.4,46,1688,170,-4901.5,0
4298.5,5132.9,13,316,78,-1490.6,2
60940,15246,38,2188,215,-5358.5,3
10949,7630.6,36,654,155,-3386.1,4
4163,5178.7,10,318,78,-1230.2,2
90425,13914,39,3886,253,-4599.1,3
75521,12369,33,3211,261,-6253.5,0
3845.9,4971.8,15,316,80,-1130.6,2
82172,11959,169,3551,295,-7083.2,0
1.07E+05,16827,55,4345,358,-9408.6,0
43081,12578,45,1524,249,-5709.8,0
8158.8,7698.4,18,452,110,-1598.8,4
51257,14417,49,2464,233,-3710.1,4
16891,8839.8,72,844,141,-2646.5,3
34067,10077,109,1691,207,-4367.9,5
9280.6,7123.1,16,555,137,-3137.3,4
2.74E+05,25167,105,8349,538,-9399.4,4
5.01E+05,25331,135,15870,637,-13881,0
25211,8296.8,26,1520,157,-3227.9,3
51666,13448,58,2332,268,-5617,0
30120,9745.9,121,1746,170,-3127.8,5
35793,11268,26,1581,234,-4769.7,2
20746,8913,101,1162,164,-3504.2,4
2.46E+05,15585,64,8725,361,-6758.9,0
5991.9,7026,12,315,111,-2219.3,0
9962.9,9119.2,36,553,156,-4401.2,0
3.31E+05,18880,49,11114,397,-8163.9,0
4209.7,5241.3,122,318,89,-1498.5,3
3047.2,4483.5,32,250,71,-1221.9,3
5452.5,6812.5,56,346,108,-2184.9,3
4360.4,4858.9,21,340,72,-1349.5,4
50.614,2418.8,96,4,34,-385.25,2
3282.2,5181,48,133,52,-810.74,2
2.16E+05,16311,75,7582,374,-8490.8,0
3361.7,5435.1,38,250,71,-1080.4,4
13355,6291,14,845,103,-2878.5,0
1.61E+05,18343,79,6291,389,-5690,3
1.90E+05,17721,198,6518,335,-10948,0
1.16E+05,13916,57,5214,292,-7037.3,0
4281.9,5040.1,10,316,79,-1348.1,2
16627,10121,195,890,136,-4990.9,0
11137,5756.1,20,763,103,-1875.4,4
30143,9104,123,1747,170,-3309.9,5
51493,9360.1,38,2599,189,-3089.8,4
78029,13027,31,3211,261,-5668.2,5
1.20E+05,15590,45,4426,272,-6602.5,3
9576.8,7464.7,17,621,123,-2435.5,2
92282,12477,40,3788,235,-6223,0
43563,11453,117,1874,232,-5314.6,0
22820,9264.3,55,1169,228,-4927.9,0
25865,9689.9,22,1415,173,-3391.2,4
27162,7956.9,87,1521,157,-2857.6,4
35546,10167,123,1691,207,-4348.4,4
1413.5,3595.7,34,133,53,-1060,4
1.61E+05,18492,90,6290,387,-8862,3
29071,12646,43,1420,236,-5773.7,0
11999,8412.9,81,694,129,-2543.6,3
41137,12201,37,1755,216,-6144.7,0
93589,13682,112,4248,294,-5704.1,5
1.39E+05,17738,133,5536,450,-7359,3
2826.1,5021.9,11,226,81,-1546.1,0
4322.2,7787.6,9,204,87,-1860.4,2
30140,10621,99,1526,223,-4582.8,0
50909,13781,39,2465,235,-3338.3,3
2.71E+05,24403,93,8350,536,-9410.3,3
20572,9109.1,93,1162,163,-3419,5
7285.5,5610.4,68,456,105,-1798.5,3
4193.3,5351.4,12,318,79,-1180.8,2
4088.9,6792.8,73,250,101,-2572.7,0
23914,9571.6,14,1111,167,-463.99,3
6347.1,7824,40,398,126,-4204.7,0
1.46E+05,18661,151,5846,362,-6378.3,3
73434,12504,29,3631,249,-5129.7,2
1.42E+05,14772,47,5844,314,-3880.3,3
23729,13428,28,1021,169,-3934.9,0
90038,12756,171,4066,287,-6932.9,0
4109.6,7245.9,69,250,102,-2241.1,4
3612.6,5317.5,47,133,52,-816.77,2
2.56E+05,22333,77,8870,539,-11699,3
26171,10434,54,1470,213,-4173.4,4
92504,12888,212,3714,251,-7141.5,0
10041,7559.7,27,655,119,-2681.9,0
35609,10204,117,1692,208,-4415.2,4
27358,11326,34,1469,215,-4185.9,3
53.358,2488.2,7,5,33,-348.74,1
9485.6,7993.7,97,491,130,-3001.6,2
51832,13558,59,2334,288,-6007.7,4
4204.3,5025.1,12,316,80,-1170.9,2
10486,6569.2,10,726,116,-2194.9,0
78691,11908,38,3538,272,-6439,3
7673.8,7622.7,138,485,109,-957.26,5
1.64E+05,16700,71,6743,352,-7550.2,2
51.457,2445,8,6,33,-600.57,2
79764,14835,72,3467,320,-7027.5,5
2.71E+05,16561,66,9817,374,-7964.1,0
10415,6765.9,11,688,110,-3381.1,3
9365,7320.4,14,555,137,-3135.6,3
67813,10323,147,3373,246,-5851.2,0
7.43E+05,27378,74,22089,629,-18695,0
6428.6,6575.2,24,428,107,-2274.4,2
1.52E+05,15063,203,5744,307,-7135.8,0
17277,9786.3,98,893,181,-5394.3,0
24231,11239,33,1211,183,-3530.2,5
7302.9,6061.1,10,516,99,-1119.8,0
1.11E+05,15040,53,4067,310,-9397.7,0
4351,5461,14,291,80,-1880.6,2
32145,9790,88,1921,177,-3432.3,3
76085,12845,51,3211,263,-5487,4
3.09E+05,21034,72,8607,423,-11645,0
99842,14072,172,4062,281,-5908,4
51.657,2460.9,5,4,33,-572.42,1
1.41E+05,13870,47,5843,314,-4881.7,3
6240.3,5554.9,132,485,108,-1719.4,4
78424,13153,59,3539,271,-4970.1,5
52071,9768.4,27,2599,189,-2960.1,3
1.51E+05,15304,58,6293,342,-7753.2,0
78847,14031,75,3465,320,-7161.8,5
4.10E+05,22164,63,14124,472,-9950.1,2
1.68E+05,14037,42,7202,306,-6901.9,0
69622,11075,144,3373,247,-5313.9,1
10172,8872.1,36,587,153,-2098.7,2
26340,8598.4,33,1364,157,-2318.5,3
50628,8911.6,26,2600,189,-3561.1,3
9496.4,7966.5,94,490,131,-3049.7,2
4.11E+05,22482,63,14126,473,-8209.9,4
1.11E+05,15616,81,4440,356,-8136.4,0
73465,12219,22,3630,248,-4580.5,1
1.41E+05,16226,114,6067,368,-5579.8,0
26773,9334.4,32,1364,155,-2360.7,3
1.12E+05,11732,44,4905,235,1670.5,3
11089,5850.9,12,764,102,-1894,4
4912.3,6101.8,22,344,85,-1399.4,1
1531.8,4636.1,27,102,52,-847.17,5
12054,8306.2,89,693,127,-2598.9,2
90688,13414,49,3883,290,-7771.3,0
10487,6656.5,16,688,109,-3080.8,3
50289,13830,38,2464,235,-3371.4,3
2.33E+05,20999,116,8350,537,-4140.1,3
59999,12882,31,2755,248,-5628.6,3
74442,12006,27,3454,253,-5531.6,0
14183,7296.5,7,804,131,-3812.9,0
2.54E+05,20902,88,9006,580,-15032,0
1.86E+05,18973,60,6079,426,-12441,0
5.20E+05,23388,122,18066,541,-11366,4
46846,13452,67,2062,274,-5804.2,4
81865,13840,60,3538,272,-5080.4,5
4109.2,6941.2,70,249,100,-2318.2,4
73341,12158,26,3630,250,-5079.6,2
45820,12904,57,2062,272,-5839.8,4
9505.1,8303.4,101,490,129,-2837.7,2
7479.2,6919,9,401,106,-1606.9,0
42272,9846.2,71,2059,224,-2430.1,3
9532.5,7961.4,94,491,129,-2992.7,2
13583,8465.8,19,728,148,-2832.7,3
53421,10170,5,2597,190,-4262.1,0
5728.7,7387.3,20,293,80,-1557.4,2
26992,7582.7,91,1521,155,-3015.4,4
48506,10087,41,2677,217,-5839.5,3
3908,4878.2,18,339,72,-1359.5,3
8116.9,6909.5,52,491,112,-3088.8,0
28711,9559.4,20,1414,165,-2429.8,3
50851,13494,39,2465,233,-3698.2,2
13947,7307.7,84,809,120,-2407.4,3
36352,9845.2,43,1997,197,-4611,5
15127,7730.7,57,971,135,-2712,3
17478,9020,31,932,184,-4127.5,1
1.60E+05,18664,90,6289,388,-9609.3,4
9259.9,7370.4,15,554,137,-3180.7,2
4020.1,4723.4,13,318,79,-1599.5,3
58191,12779,53,2191,225,-2580.8,4
9453.6,7812.4,101,490,129,-3051.8,2
47050,11828,21,2188,215,-6480.2,3
10241,8237.3,96,491,130,-2850,3
75832,12737,33,3060,241,-5687.6,0
81601,12924,62,3292,266,-6816.2,0
12048,8056.2,81,693,128,-2565.2,3
51720,12161,57,2334,287,-6470.3,4
25179,9527.9,29,1414,187,-2842.5,0
7372.5,6161.6,47,545,93,-1610.8,2
26592,9393.3,18,1414,166,-2159.1,3
60112,13196,27,2754,247,-4819.4,3
10444,6624.6,17,690,110,-3178.9,4
38062,10720,130,1751,204,-4163.3,3
28109,8861.8,32,1415,167,-3319.8,4
2.27E+05,16800,258,8469,376,-11507,0
2.09E+05,21079,93,6983,430,-9186.6,0
7083.5,6009.8,37,544,92,-1609.4,3
1.11E+05,13087,64,4426,271,-4990.6,4
11337,8993.5,40,653,157,-3022.5,4
11336,9030.2,40,655,157,-3073,4
